student_id,department,faculty,domicile,status,gender,age,application_date
STU00021,Veterinary Medicine,Clinical Medicine,Home,Rejected,Male,21.0,2023-01-17 18:27:19.366138
STU00022,Medicine,Clinical Medicine,International,Enrolled,Female,19.0,2023-01-17 21:46:41.334445
STU00023,Computer Science,Science,International,Enrolled,Female,25.0,2023-01-18 01:06:03.302752
STU00024,Mathematics,Science,Home,Enrolled,Female,25.0,2023-01-18 04:25:25.271059
STU00025,Chemical Engineering,Engineering,International,Enrolled,Male,25.0,2023-01-18 07:44:47.239366
STU00026,Computer Science,Science,Home,Enrolled,Male,24.0,2023-01-18 11:04:09.207673
STU00027,Philosophy,Arts & Humanities,International,Enrolled,Female,18.0,2023-01-18 14:23:31.175979
STU00028,Philosophy,Arts & Humanities,International,Enrolled,Male,24.0,2023-01-18 17:42:53.144286
STU00029,Engineering,Engineering,Home,Rejected,Female,24.0,2023-01-18 21:02:15.112593
STU00030,Psychology,Social Sciences,International,Rejected,Male,18.0,2023-01-19 00:21:37.080900
STU00031,Veterinary Medicine,Clinical Medicine,Home,Rejected,Male,25.0,2023-01-19 03:40:59.049207
STU00032,Medicine,Clinical Medicine,Home,Rejected,Male,18.0,2023-01-19 07:00:21.017514
STU00033,SOCIOLOGY,Social Sciences,Home,Enrolled,Female,21.0,2023-01-19 10:19:42.985821
STU00034,Chemical Engineering,Engineering,International,Enrolled,Female,24.0,2023-01-19 13:39:04.954128
STU00035,Computer Science,Science,Home,Rejected,Male,18.0,2023-01-19 16:58:26.922435
STU00036,Psychology,Social Sciences,Home,Enrolled,Female,18.0,2023-01-19 20:17:48.890742
STU00037,Pharmacology,Clinical Medicine,Home,Enrolled,Male,25.0,2023-01-19 23:37:10.859049
STU00038,Psychology,Social Sciences,Home,Enrolled,Female,22.0,2023-01-20 02:56:32.827356
STU00039,Engineering,Engineering,Home,Rejected,Male,22.0,2023-01-20 06:15:54.795663
STU00040,Psychology,Social Sciences,Home,Enrolled,Female,24.0,2023-01-20 09:35:16.763969
STU00041,Medicine,Clinical Medicine,Home,Enrolled,Female,18.0,2023-01-20 12:54:38.732276
STU00042,History,Arts & Humanities,Home,Enrolled,Female,20.0,2023-01-20 16:14:00.700583
STU00043,Physics,Science,Home,Enrolled,Female,25.0,2023-01-20 19:33:22.668890
STU00044,Computer Science,Science,Home,Enrolled,Female,19.0,2023-01-20 22:52:44.637197
STU00045,History,Arts & Humanities,Home,Rejected,Male,20.0,2023-01-21 02:12:06.605504
STU00046,Physics,Science,International,Rejected,Female,23.0,2023-01-21 05:31:28.573811
STU00047,Philosophy,Arts & Humanities,Home,Enrolled,Female,20.0,2023-01-21 08:50:50.542118
STU00048,Physics,Science,INTERNATIONAL,Enrolled,Male,21.0,2023-01-21 12:10:12.510425
STU00049,Politics,Social Sciences,International,Enrolled,Female,19.0,2023-01-21 15:29:34.478732
STU00050,Computer Science,Science,Home,Rejected,Female,20.0,
STU00051,Computer Science,Science,Home,Rejected,Male,19.0,2023-01-21 22:08:18.415346
STU00052,Mathematics,Science,Home,Enrolled,Non-binary,25.0,2023-01-22 01:27:40.383653
STU00053,Physics,Science,Home,Rejected,,19.0,2023-01-22 04:47:02.351959
STU00054,Engineering,Engineering,International,Enrolled,Male,24.0,2023-01-22 08:06:24.320266
STU00055,Politics,Social Sciences,International,Rejected,Female,20.0,2023-01-22 11:25:46.288573
STU00056,Psychology,Social Sciences,Home,Enrolled,Male,24.0,2023-01-22 14:45:08.256880
STU00057,Mathematics,Science,International,Rejected,Male,20.0,2023-01-22 18:04:30.225187
STU00058,Medicine,Clinical Medicine,International,Enrolled,Female,20.0,
STU00059,Mathematics,Science,Home,Rejected,Female,20.0,2023-01-23 00:43:14.161801
STU00060,Computer Science,Science,Home,Rejected,Female,18.0,2023-01-23 04:02:36.130108
STU00061,Civil Engineering,Engineering,Home,Enrolled,Female,22.0,2023-01-23 07:21:58.098415
STU00062,Politics,Social Sciences,Home,Rejected,Female,25.0,2023-01-23 10:41:20.066722
STU00063,Psychology,Social Sciences,Home,Enrolled,Female,20.0,2023-01-23 14:00:42.035029
STU00064,Medicine,Clinical Medicine,International,Enroled,Female,20.0,2023-01-23 17:20:04.003336
STU00065,Engineering,Engineering,Home,Rejected,Female,18.0,2023-01-23 20:39:25.971643
STU00066,Veterinary Medicine,Clinical Medicine,International,Rejected,Female,22.0,2023-01-23 23:58:47.939949
STU00067,Physics,Science,Home,Rejected,Female,,2023-01-24 03:18:09.908256
STU00068,English,Arts & Humanities,Home,Rejected,Female,25.0,2023-01-24 06:37:31.876563
STU00069,Computer Science,Science,Home,Enrolled,Non-binary,18.0,2023-01-24 09:56:53.844870
STU00070,Physics,Science,Home,Rejected,Male,25.0,2023-01-24 13:16:15.813177
STU00071,Mathematics,Science,Home,Enrolled,Male,25.0,2023-01-24 16:35:37.781484
STU00072,Chemical Engineering,Engineering,Home,Enrolled,Female,25.0,2023-01-24 19:54:59.749791
STU00073,Engineering,Engineering,Home,Rejected,Male,18.0,2023-01-24 23:14:21.718098
STU00074,Computer Science,Science,Home,Enrolled,Male,22.0,2023-01-25 02:33:43.686405
STU00075,Geography,Social Sciences,Home,Enrolled,Female,21.0,2023-01-25 05:53:05.654712
STU00076,Chemistry,Science,Home,Enrolled,Male,20.0,2023-01-25 09:12:27.623019
STU00077,Engineering,Engineering,Home,Enrolled,Male,23.0,2023-01-25 12:31:49.591326
STU00078,Biology,Science,Home,Enrolled,Female,18.0,2023-01-25 15:51:11.559633
STU00079,Physics,Science,International,Enrolled,Male,22.0,2023-01-25 19:10:33.527939
STU00080,Physics,Science,Home,Enrolled,Female,19.0,2023-01-25 22:29:55.496246
STU00081,Psychology,Social Sciences,Home,Enrolled,Male,24.0,2023-01-26 01:49:17.464553
STU00082,Physics,Science,Home,Enrolled,Male,20.0,2023-01-26 05:08:39.432860
STU00083,Psychology,Social Sciences,International,Enrolled,Female,20.0,2023-01-26 08:28:01.401167
STU00084,Engineering,Engineering,Home,Rejected,Male,23.0,2023-01-26 11:47:23.369474
STU00085,Chemistry,Science,International,Enrolled,Male,19.0,2023-01-26 15:06:45.337781
STU00086,Physics,Science,International,Enrolled,Male,23.0,2023-01-26 18:26:07.306088
STU00087,Civil Engineering,Engineering,International,Rejected,Male,24.0,2023-01-26 21:45:29.274395
STU00088,Economics,Social Sciences,International,Rejected,Non-binary,24.0,2023-01-27 01:04:51.242702
STU00089,Philosophy,Arts & Humanities,Home,Enrolled,Female,19.0,2023-01-27 04:24:13.211009
STU00090,History,Arts & Humanities,Home,Enrolled,Female,20.0,2023-01-27 07:43:35.179316
STU00091,Classics,Arts & Humanities,Home,Rejected,Female,22.0,2023-01-27 11:02:57.147623
STU00092,Politics,Social Sciences,Home,Rejected,Female,24.0,2023-01-27 14:22:19.115929
STU00093,Veterinary Medicine,Clinical Medicine,International,Rejected,Male,21.0,2023-01-27 17:41:41.084236
STU00094,BIOLOGY,Science,International,Rejected,Female,19.0,2023-01-27 21:01:03.052543
STU00095,History,Arts & Humanities,Home,Rejected,Male,19.0,2023-01-28 00:20:25.020850
STU00096,Chemistry,Science,Home,Enrolled,Male,22.0,2023-01-28 03:39:46.989157
STU00097,Civil Engineering,Engineering,International,Rejected,Male,23.0,2023-01-28 06:59:08.957464
STU00098,Sociology,Social Sciences,Home,Enrolled,Male,23.0,2023-01-28 10:18:30.925771
STU00099,Chemical Engineering,Engineering,Home,Rejected,Female,25.0,2023-01-28 13:37:52.894078
STU00100,Engineering,Engineering,International,Rejected,Male,25.0,2023-01-28 16:57:14.862385
STU00101,English,Arts & Humanities,International,Rejected,Female,20.0,2023-01-28 20:16:36.830692
STU00102,Medicine,Clinical Medicine,International,Rejected,Male,21.0,2023-01-28 23:35:58.798999
STU00103,Medicine,Clinical Medicine,International,Rejected,Male,21.0,2023-01-29 02:55:20.767306
STU00104,Sociology,Social Sciences,International,Enrolled,Male,,2023-01-29 06:14:42.735613
STU00105,Physics,Science,International,Enrolled,Male,19.0,2023-01-29 09:34:04.703919
STU00106,Politics,Social Sciences,Home,Enrolled,Male,21.0,2023-01-29 12:53:26.672226
STU00107,Classics,Arts & Humanities,Home,Enrolled,Male,24.0,2023-01-29 16:12:48.640533
STU00108,Biology,Science,Home,Enrolled,Female,23.0,2023-01-29 19:32:10.608840
STU00109,Biology,Science,Home,Rejected,Female,21.0,2023-01-29 22:51:32.577147
STU00110,Chemical Engineering,Engineering,Home,Enrolled,,,2023-01-30 02:10:54.545454
STU00111,Engineering,Engineering,Home,Enrolled,Female,22.0,2023-01-30 05:30:16.513761
STU00112,Physics,Science,Home,Enrolled,,19.0,
STU00113,Economics,Social Sciences,International,Rejected,Male,23.0,2023-01-30 12:09:00.450375
STU00114,Mathematics,Science,Home,Enrolled,Female,19.0,2023-01-30 15:28:22.418682
STU00115,Engineering,Engineering,Home,Rejected,Male,23.0,2023-01-30 18:47:44.386989
STU00116,Engineering,Engineering,Home,Enrolled,Female,18.0,2023-01-30 22:07:06.355296
STU00117,Computer Science,Science,Home,Enrolled,Female,21.0,2023-01-31 01:26:28.323603
STU00118,Politics,Social Sciences,International,Rejected,Female,23.0,2023-01-31 04:45:50.291909
STU00119,Psychology,Social Sciences,Home,Rejected,Non-binary,25.0,2023-01-31 08:05:12.260216
STU00120,Music,Arts & Humanities,International,Rejected,Female,18.0,2023-01-31 11:24:34.228523
STU00121,Veterinary Medicine,Clinical Medicine,International,Rejected,Male,25.0,2023-01-31 14:43:56.196830
STU00122,Sociology,Social Sciences,International,Rejected,Female,25.0,2023-01-31 18:03:18.165137
STU00123,Veterinary Medicine,Clinical Medicine,Home,Enrolled,Non-binary,23.0,2023-01-31 21:22:40.133444
STU00124,SOCIOLOGY,Social Sciences,Home,Enrolled,Male,24.0,2023-02-01 00:42:02.101751
STU00125,English,Arts & Humanities,International,Enrolled,Female,18.0,2023-02-01 04:01:24.070058
STU00126,Computer Science,Science,Home,Enrolled,Male,22.0,2023-02-01 07:20:46.038365
STU00127,English,Arts & Humanities,Home,Enrolled,Female,23.0,2023-02-01 10:40:08.006672
STU00128,Engineering,Engineering,Home,Enrolled,Female,18.0,2023-02-01 13:59:29.974979
STU00129,Engineering,Engineering,International,Enrolled,Male,23.0,
STU00130,Pharmacology,Clinical Medicine,International,Rejected,Female,23.0,2023-02-01 20:38:13.911592
STU00131,Computer Science,Science,International,Enrolled,Male,20.0,2023-02-01 23:57:35.879899
STU00132,History,Arts & Humanities,Home,Enrolled,Male,18.0,2023-02-02 03:16:57.848206
STU00133,Engineering,Engineering,Home,Enrolled,Female,24.0,2023-02-02 06:36:19.816513
STU00134,Chemical Engineering,Engineering,INTERNATIONAL,Enrolled,Male,20.0,2023-02-02 09:55:41.784820
STU00135,Philosophy,Arts & Humanities,International,Enrolled,Female,24.0,2023-02-02 13:15:03.753127
STU00136,Economics,Social Sciences,Home,Enrolled,Non-binary,19.0,2023-02-02 16:34:25.721434
STU00137,History,Arts & Humanities,Home,Enrolled,Male,22.0,2023-02-02 19:53:47.689741
STU00138,Medicine,Clinical Medicine,Home,Enrolled,Non-binary,23.0,2023-02-02 23:13:09.658048
STU00139,Veterinary Medicine,Clinical Medicine,International,Rejected,Female,22.0,2023-02-03 02:32:31.626355
STU00140,Classics,Arts & Humanities,Home,Enrolled,Male,25.0,2023-02-03 05:51:53.594662
STU00141,Economics,Social Sciences,Home,Enrolled,Male,23.0,2023-02-03 09:11:15.562969
STU00142,Psychology,Social Sciences,Home,Rejected,Female,22.0,2023-02-03 12:30:37.531276
STU00143,Physics,Science,International,Enrolled,Female,22.0,2023-02-03 15:49:59.499582
STU00144,ENGINEERING,Engineering,Home,Enrolled,Female,23.0,2023-02-03 19:09:21.467889
STU00145,Biology,Science,International,Rejected,Male,21.0,2023-02-03 22:28:43.436196
STU00146,Mathematics,Science,Home,Enrolled,Male,25.0,2023-02-04 01:48:05.404503
STU00147,Sociology,Social Sciences,International,Rejected,Female,25.0,2023-02-04 05:07:27.372810
STU00148,Medicine,Clinical Medicine,International,Enrolled,Female,20.0,2023-02-04 08:26:49.341117
STU00149,Mathematics,Science,Home,Enrolled,,25.0,2023-02-04 11:46:11.309424
STU00150,Computer Science,Science,Home,Enrolled,Female,22.0,2023-02-04 15:05:33.277731
STU00151,Civil Engineering,Engineering,Home,Rejected,Female,20.0,2023-02-04 18:24:55.246038
STU00152,Politics,Social Sciences,Home,Enrolled,Non-binary,19.0,2023-02-04 21:44:17.214345
STU00153,Biology,Science,International,Rejected,Female,20.0,2023-02-05 01:03:39.182652
STU00154,Sociology,Social Sciences,International,Enrolled,Male,18.0,2023-02-05 04:23:01.150959
STU00155,Classics,Arts & Humanities,International,Enrolled,Female,19.0,2023-02-05 07:42:23.119266
STU00156,Physics,Science,Home,Rejected,Male,,2023-02-05 11:01:45.087572
STU00157,Computer Science,Science,Home,Enrolled,Male,19.0,2023-02-05 14:21:07.055879
STU00158,Psychology,Social Sciences,Home,Enrolled,Male,18.0,2023-02-05 17:40:29.024186
STU00159,Physics,Science,International,enrolled,Female,22.0,2023-02-05 20:59:50.992493
STU00160,Physics,Science,Home,Enrolled,Female,22.0,2023-02-06 00:19:12.960800
STU00161,History,Arts & Humanities,Home,Enrolled,Female,21.0,2023-02-06 03:38:34.929107
STU00162,Politics,Social Sciences,International,Rejected,Male,21.0,2023-02-06 06:57:56.897414
STU00163,Physics,Science,International,Rejected,Male,23.0,2023-02-06 10:17:18.865721
STU00164,Engineering,Engineering,Home,Enrolled,Male,19.0,2023-02-06 13:36:40.834028
STU00165,Engineering,Engineering,International,Enrolled,Female,20.0,2023-02-06 16:56:02.802335
STU00166,History,Arts & Humanities,Home,Enrolled,Male,18.0,2023-02-06 20:15:24.770642
STU00167,Physics,Science,International,enrolled,Male,19.0,2023-02-06 23:34:46.738949
STU00168,Geography,Social Sciences,Home,Enrolled,Female,23.0,2023-02-07 02:54:08.707256
STU00169,Mathematics,Science,Home,Enrolled,Female,22.0,2023-02-07 06:13:30.675562
STU00170,Music,Arts & Humanities,International,Rejected,Female,22.0,2023-02-07 09:32:52.643869
STU00171,Engineering,Engineering,Home,Rejected,Female,20.0,2023-02-07 12:52:14.612176
STU00172,Psychology,Social Sciences,Home,Rejected,Female,23.0,2023-02-07 16:11:36.580483
STU00173,Economics,Social Sciences,Home,Enrolled,Female,18.0,2023-02-07 19:30:58.548790
STU00174,Veterinary Medicine,Clinical Medicine,Home,Enrolled,Female,25.0,2023-02-07 22:50:20.517097
STU00175,Veterinary Medicine,Clinical Medicine,Home,Enrolled,Male,18.0,2023-02-08 02:09:42.485404
STU00176,Mathematics,Science,Home,Enrolled,Female,18.0,2023-02-08 05:29:04.453711
STU00177,Philosophy,Arts & Humanities,Home,Rejected,Male,24.0,2023-02-08 08:48:26.422018
STU00178,Biology,Science,International,Enrolled,Female,25.0,2023-02-08 12:07:48.390325
STU00179,Biology,Science,Home,Enrolled,Male,22.0,2023-02-08 15:27:10.358632
STU00180,Economics,Social Sciences,Home,Rejected,Male,21.0,2023-02-08 18:46:32.326939
STU00181,Medicine,Clinical Medicine,International,Enrolled,Female,19.0,2023-02-08 22:05:54.295246
STU00182,Geography,Social Sciences,International,Rejected,Male,25.0,2023-02-09 01:25:16.263552
STU00183,Civil Engineering,Engineering,Home,Rejected,Male,19.0,2023-02-09 04:44:38.231859
STU00184,PHILOSOPHY,Arts & Humanities,International,Enrolled,Female,25.0,2023-02-09 08:04:00.200166
STU00185,Chemistry,Science,Home,Rejected,Female,22.0,2023-02-09 11:23:22.168473
STU00186,Computer Science,Science,Home,Enrolled,Female,25.0,2023-02-09 14:42:44.136780
STU00187,Engineering,Engineering,International,Rejected,Male,21.0,2023-02-09 18:02:06.105087
STU00188,Physics,Science,International,Enrolled,Male,22.0,2023-02-09 21:21:28.073394
STU00189,Mathematics,Science,Home,Enrolled,Female,24.0,2023-02-10 00:40:50.041701
STU00190,Biology,Science,International,Enrolled,Female,23.0,2023-02-10 04:00:12.010008
STU00191,Biology,Science,Home,Rejected,Non-binary,23.0,2023-02-10 07:19:33.978315
STU00192,Physics,Science,Home,Enrolled,Male,18.0,2023-02-10 10:38:55.946622
STU00193,Physics,Science,Home,Enrolled,Female,19.0,2023-02-10 13:58:17.914929
STU00194,Engineering,Engineering,Home,Enrolled,Female,25.0,2023-02-10 17:17:39.883236
STU00195,Biology,Science,International,Rejected,Female,22.0,2023-02-10 20:37:01.851542
STU00196,Engineering,Engineering,Home,Rejected,Female,20.0,2023-02-10 23:56:23.819849
STU00197,Psychology,Social Sciences,International,Enrolled,Male,24.0,2023-02-11 03:15:45.788156
STU00198,History,Arts & Humanities,Home,Enrolled,Non-binary,19.0,2023-02-11 06:35:07.756463
STU00199,Civil Engineering,Engineering,Home,Rejected,Female,19.0,
STU00200,Engineering,Engineering,Home,Enrolled,Female,25.0,2023-02-11 13:13:51.693077
STU00201,Chemical Engineering,Engineering,Home,Enrolled,Male,24.0,2023-02-11 16:33:13.661384
STU00202,Engineering,Engineering,Home,Rejected,Male,21.0,2023-02-11 19:52:35.629691
STU00203,Engineering,Engineering,Home,Enrolled,Female,25.0,2023-02-11 23:11:57.597998
STU00204,Mathematics,Science,International,Enrolled,Female,23.0,2023-02-12 02:31:19.566305
STU00205,Economics,Social Sciences,Home,Enrolled,Non-binary,24.0,2023-02-12 05:50:41.534612
STU00206,Mathematics,Science,Home,Enrolled,Male,24.0,2023-02-12 09:10:03.502919
STU00207,Chemistry,Science,International,Enrolled,Female,23.0,2023-02-12 12:29:25.471226
STU00208,History,Arts & Humanities,Home,Enrolled,Female,21.0,2023-02-12 15:48:47.439532
STU00209,Computer Science,Science,Home,Enrolled,Male,19.0,2023-02-12 19:08:09.407839
STU00210,Civil Engineering,Engineering,Home,Rejected,Male,25.0,2023-02-12 22:27:31.376146
STU00211,Physics,Science,Home,Enrolled,Female,25.0,2023-02-13 01:46:53.344453
STU00212,Veterinary Medicine,Clinical Medicine,Home,Rejected,Female,19.0,2023-02-13 05:06:15.312760
STU00213,Biology,Science,Home,Enrolled,Male,20.0,2023-02-13 08:25:37.281067
STU00214,Biology,Science,Home,Enrolled,Male,24.0,2023-02-13 11:44:59.249374
STU00215,Chemical Engineering,Engineering,Home,Enrolled,Female,19.0,2023-02-13 15:04:21.217681
STU00216,Civil Engineering,Engineering,Home,Enrolled,Male,24.0,2023-02-13 18:23:43.185988
STU00217,Psychology,Social Sciences,International,Rejected,Male,18.0,2023-02-13 21:43:05.154295
STU00218,Medicine,Clinical Medicine,Home,Enrolled,Female,20.0,2023-02-14 01:02:27.122602
STU00219,Mathematics,Science,International,Enrolled,Female,18.0,2023-02-14 04:21:49.090909
STU00220,Computer Science,Science,Home,Rejected,Female,20.0,2023-02-14 07:41:11.059216
STU00221,Chemical Engineering,Engineering,Home,Rejected,Non-binary,22.0,
STU00222,Psychology,Social Sciences,Home,Enrolled,,25.0,2023-02-14 14:19:54.995829
STU00223,Sociology,Social Sciences,International,Enrolled,Female,23.0,2023-02-14 17:39:16.964136
STU00224,Medicine,Clinical Medicine,Home,Rejected,Female,22.0,2023-02-14 20:58:38.932443
STU00225,History,Arts & Humanities,Home,Enrolled,Male,24.0,2023-02-15 00:18:00.900750
STU00226,Psychology,Social Sciences,Home,Enrolled,Male,23.0,2023-02-15 03:37:22.869057
STU00227,Economics,Social Sciences,Home,Rejected,Male,18.0,2023-02-15 06:56:44.837364
STU00228,Engineering,Engineering,INTERNATIONAL,Rejected,Female,24.0,2023-02-15 10:16:06.805671
STU00229,Mathematics,Science,Home,Rejected,Female,22.0,2023-02-15 13:35:28.773978
STU00230,Chemical Engineering,Engineering,Home,Enrolled,Male,18.0,2023-02-15 16:54:50.742285
STU00231,History,Arts & Humanities,International,Rejected,Male,,2023-02-15 20:14:12.710592
STU00232,Mathematics,Science,Home,Enrolled,Female,23.0,2023-02-15 23:33:34.678899
STU00233,Psychology,Social Sciences,International,Enrolled,Male,22.0,2023-02-16 02:52:56.647206
STU00234,Geography,Social Sciences,Home,Enrolled,Female,21.0,2023-02-16 06:12:18.615512
STU00235,Physics,Science,International,Rejected,Female,24.0,2023-02-16 09:31:40.583819
STU00236,Classics,Arts & Humanities,International,Rejected,Male,24.0,2023-02-16 12:51:02.552126
STU00237,Engineering,Engineering,Home,Rejected,Female,24.0,2023-02-16 16:10:24.520433
STU00238,Physics,Science,Home,Enrolled,Female,20.0,2023-02-16 19:29:46.488740
STU00239,Psychology,Social Sciences,Home,Enrolled,Male,21.0,2023-02-16 22:49:08.457047
STU00240,Politics,Social Sciences,International,Enrolled,Female,23.0,2023-02-17 02:08:30.425354
STU00241,Biology,Science,Home,Enrolled,Female,20.0,2023-02-17 05:27:52.393661
STU00242,Psychology,Social Sciences,International,Enrolled,Male,20.0,2023-02-17 08:47:14.361968
STU00243,Sociology,Social Sciences,Home,Rejected,Male,19.0,2023-02-17 12:06:36.330275
STU00244,Engineering,Engineering,International,Rejected,Male,20.0,2023-02-17 15:25:58.298582
STU00245,Mathematics,Science,Home,Enrolled,Male,25.0,2023-02-17 18:45:20.266889
STU00246,Medicine,Clinical Medicine,International,Rejected,Male,20.0,2023-02-17 22:04:42.235195
STU00247,Physics,Science,Home,Enrolled,Male,24.0,2023-02-18 01:24:04.203502
STU00248,Chemistry,Science,International,Rejected,Female,24.0,2023-02-18 04:43:26.171809
STU00249,Geography,Social Sciences,Home,Enrolled,Male,25.0,2023-02-18 08:02:48.140116
STU00250,Computer Science,Science,Home,Enrolled,Female,25.0,2023-02-18 11:22:10.108423
STU00251,Computer Science,Science,Home,Enrolled,Male,21.0,2023-02-18 14:41:32.076730
STU00252,MEDICINE,Clinical Medicine,Home,Enrolled,Female,18.0,2023-02-18 18:00:54.045037
STU00253,History,Arts & Humanities,Home,Enroled,Female,21.0,2023-02-18 21:20:16.013344
STU00254,Biology,Science,International,Enrolled,Female,22.0,2023-02-19 00:39:37.981651
STU00255,Civil Engineering,Engineering,Home,Enrolled,Male,23.0,2023-02-19 03:58:59.949958
STU00256,Civil Engineering,Engineering,International,ENROLLED,Male,18.0,2023-02-19 07:18:21.918265
STU00257,History,Arts & Humanities,Home,Enrolled,Female,23.0,2023-02-19 10:37:43.886572
STU00258,Mathematics,Science,Home,Enrolled,Male,25.0,2023-02-19 13:57:05.854879
STU00259,Physics,Science,International,Rejected,Female,19.0,2023-02-19 17:16:27.823185
STU00260,Engineering,Engineering,Home,Rejected,Female,22.0,2023-02-19 20:35:49.791492
STU00261,Engineering,Engineering,home,Rejected,Female,19.0,2023-02-19 23:55:11.759799
STU00262,Engineering,Engineering,International,Enrolled,Male,19.0,2023-02-20 03:14:33.728106
STU00263,Computer Science,Science,international,Rejected,Female,19.0,2023-02-20 06:33:55.696413
STU00264,Mathematics,Science,Home,Rejected,Male,22.0,2023-02-20 09:53:17.664720
STU00265,Engineering,Engineering,Home,Rejected,Female,23.0,2023-02-20 13:12:39.633027
STU00266,Medicine,Clinical Medicine,Home,Enrolled,Male,18.0,2023-02-20 16:32:01.601334
STU00267,Psychology,Social Sciences,International,Enrolled,Male,25.0,2023-02-20 19:51:23.569641
STU00268,Civil Engineering,Engineering,International,Enrolled,Male,23.0,2023-02-20 23:10:45.537948
STU00269,Politics,Social Sciences,International,Enrolled,Female,22.0,2023-02-21 02:30:07.506255
STU00270,English,Arts & Humanities,Home,Enrolled,Male,18.0,2023-02-21 05:49:29.474562
STU00271,Pharmacology,Clinical Medicine,International,Enrolled,Female,22.0,2023-02-21 09:08:51.442869
STU00272,Computer Science,Science,Home,Rejected,Male,22.0,2023-02-21 12:28:13.411175
STU00273,Geography,Social Sciences,Home,Rejected,Female,25.0,2023-02-21 15:47:35.379482
STU00274,ENGINEERING,Engineering,International,Enrolled,Female,18.0,2023-02-21 19:06:57.347789
STU00275,Music,Arts & Humanities,Home,Enrolled,Female,22.0,2023-02-21 22:26:19.316096
STU00276,Classics,Arts & Humanities,International,Rejected,Female,18.0,2023-02-22 01:45:41.284403
STU00277,Philosophy,Arts & Humanities,International,Enrolled,,19.0,2023-02-22 05:05:03.252710
STU00278,Psychology,Social Sciences,Home,Rejected,Female,19.0,2023-02-22 08:24:25.221017
STU00279,Physics,Science,Home,Enrolled,Female,22.0,2023-02-22 11:43:47.189324
STU00280,Psychology,Social Sciences,International,Rejected,Male,22.0,2023-02-22 15:03:09.157631
STU00281,Medicine,Clinical Medicine,Home,Rejected,Male,22.0,2023-02-22 18:22:31.125938
STU00282,Mathematics,Science,Home,Enrolled,Female,,2023-02-22 21:41:53.094245
STU00283,Politics,Social Sciences,Home,Enrolled,Female,20.0,2023-02-23 01:01:15.062552
STU00284,Physics,Science,International,Rejected,Male,20.0,2023-02-23 04:20:37.030859
STU00285,Economics,Social Sciences,Home,Enrolled,Female,23.0,2023-02-23 07:39:58.999165
STU00286,Engineering,Engineering,Home,Rejected,Female,22.0,2023-02-23 10:59:20.967472
STU00287,ENGINEERING,Engineering,Home,Rejected,Male,21.0,2023-02-23 14:18:42.935779
STU00288,Philosophy,Arts & Humanities,International,Enrolled,Female,18.0,2023-02-23 17:38:04.904086
STU00289,Biology,Science,Home,Rejected,Female,19.0,2023-02-23 20:57:26.872393
STU00290,Physics,Science,Home,Enrolled,Female,20.0,2023-02-24 00:16:48.840700
STU00291,English,Arts & Humanities,International,Enrolled,Female,24.0,2023-02-24 03:36:10.809007
STU00292,Veterinary Medicine,Clinical Medicine,Home,Rejected,Female,21.0,2023-02-24 06:55:32.777314
STU00293,Politics,Social Sciences,International,Enrolled,Male,20.0,2023-02-24 10:14:54.745621
STU00294,Physics,Science,Home,Enrolled,Female,23.0,2023-02-24 13:34:16.713928
STU00295,Medicine,Clinical Medicine,International,Rejected,Male,22.0,2023-02-24 16:53:38.682235
STU00296,Psychology,Social Sciences,International,Enrolled,Male,19.0,2023-02-24 20:13:00.650542
